file,title,systems,categories,tags,date
content\en\blog\2025-11-10-choking-vs-food-stuck-vs-painful-swallowing-parent-guide.md,Choking vs Food Stuck vs Painful Swallowing: A Parent Guide,Allergy/EGID,Education,Choking; Dysphagia; Odynophagia; Emergency; EoE,2025-11-10
content\en\blog\2025-11-10-functional-abdominal-pain-in-kids-parent-guide.md,functional abdominal pain in kids parent guide,Upper GI; Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-11-15-abdominal-pain-in-children-detailed-triage-algorithm.md,"Abdominal Pain in Children: A Detailed Guide (Triage, Constipation Plan, When to Test for Celiac/IBD)",Upper GI; Brain-Gut Axis Disorders,Education,Abdominal Pain; Constipation; Celiac; IBD; Appendicitis,2025-11-15
content\en\blog\2025-11-20-sudden-food-refusal-after-choking.md,Sudden Refusal to Eat After a Choking Episode: What to Do (Fear-Based Food Avoidance),Upper GI; Brain-Gut Axis Disorders,Education,Feeding; Choking; Food Refusal; Anxiety; Dysphagia,2025-11-20
content\en\blog\2025-11-25-choking-vs-dysphagia-vs-globus-in-children.md,Choking vs Dysphagia vs Globus in Children: How Parents Can Tell the Difference,Allergy/EGID; Brain-Gut Axis Disorders,Education,Choking; Dysphagia; Food Stuck; Globus; EoE,2025-11-25
content\en\blog\2025-11-30-recurrent-abdominal-pain-functional-vs-organic.md,Recurrent Abdominal Pain in Children: Functional Pain vs Organic Disease,Upper GI; Lower GI; Brain-Gut Axis Disorders,Education,Abdominal Pain; Functional Abdominal Pain; IBS; Celiac; IBD,2025-11-30
content\en\blog\2025-11-30-Wilsons_Disease.md,Wilsons Disease,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-11-celiac-disease-in-children-parent-guide.md,"Celiac Disease in Children: Symptoms, Testing, and What Parents Need to Know",Upper GI; Nutrition & Growth,Education,Celiac Disease; Gluten; Growth; Diarrhea; Abdominal Pain; Iron Deficiency,2025-12-11
content\en\blog\2025-12-24-constipation-in-children-practical-plan.md,Constipation in Kids: Myths vs Evidence (and What Actually Works),Lower GI; Upper GI,Education,Constipation; Encopresis; Abdominal Pain; Toilet Training,2025-12-15
content\en\blog\2025-12-24-eosinophilic-esophagitis-in-children.md,"Eosinophilic Esophagitis (EoE) in Children: Symptoms, Food Stuck Emergencies, Diagnosis, and Treatment",Allergy/EGID,Education,Eosinophilic Esophagitis; EoE; Dysphagia; Food Bolus; Food Stuck; Allergy; Emergency; Pediatric Gastroenterology,2025-12-24
content\en\blog\2025-12-25-Abdominal_Diaphragmatic_Breathing.md,Abdominal Diaphragmatic Breathing,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Abdominal_Ultrasound.md,Abdominal Ultrasound,Liver & Biliary; Pancreas; Lower GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Acupuncture_and_Acupressure.md,Acupuncture and Acupressure,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Allergens_Introducing.md,Allergens Introducing,Nutrition & Growth; Allergy/EGID,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Allergies.md,Allergies,Nutrition & Growth; Allergy/EGID,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Alpha-1_Antitrypsin_Deficiency.md,Alpha1 Antitrypsin Deficiency,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Anorectal_Manometry.md,Anorectal Manometry,Lower GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Autism.md,Autism,Lower GI; Upper GI; Nutrition & Growth;Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Autoimmune_Hepatitis.md,Autoimmune Hepatitis,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Avoidant_Restrictive_Food_Intake_Disorder_ARFID.md,Avoidant Restrictive Food Intake Disorder ARFID,Nutrition & Growth; Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Biliary_Atresia.md,Biliary Atresia,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Biofeedback_Training.md,Biofeedback Training,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Bleeding_Lower_GI.md,Bleeding Lower GI,Liver & Biliary; Lower GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Bleeding_Upper_GI.md,Bleeding Upper GI,Liver & Biliary; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-blood-in-stool-newborn-to-teen-what-it-means.md,"Blood in Stool in Children (Newborn to Teens): Causes, Red Flags, What to Do",Liver & Biliary; Lower GI; Upper GI,Education,Blood in Stool; Rectal Bleeding; Constipation; Anal Fissure; Allergy; Polyps; IBD; Pediatric Gastroenterology,2025-12-25
content\en\blog\2025-12-25-Bravo_Capsule_Test.md,Bravo Capsule Test,Lower GI; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Breastfeeding.md,Breastfeeding,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Cholestasis_Neonatal.md,Cholestasis Neonatal,Liver & Biliary; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Clinical_Hypnosis.md,Clinical Hypnosis,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Clostridioides_Difficile_Infection.md,Clostridioides Difficile Infection,Lower GI; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Cognitive-Behavioral_Therapy.md,Cognitive Behavioral Therapy,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Colic.md,Colic,Lower GI; Upper GI; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Colonoscopy.md,Colonoscopy,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Colonoscopy_Kids.md,Colonoscopy Kids,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Cows_Milk_Protein_Allergy.md,Cows Milk Protein Allergy,Lower GI; Upper GI; Nutrition & Growth;Allergy/EGID,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Crohns_Disease.md,Crohns Disease,Lower GI; Upper GI; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Cyclic_Vomiting.md,Cyclic Vomiting,Lower GI; Upper GI; Nutrition & Growth;Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Cystic_Fibrosis-Related_Liver_Disease.md,Cystic Fibrosis Related Liver Disease,Liver & Biliary; Pancreas; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-FODMAP.md,FODMAP,Lower GI; Upper GI; Nutrition & Growth;Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Food_Intolerance.md,Food Intolerance,Allergy/EGID,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-FPIES_Food_Protein-Induced_Enterocolitis_Syndrome.md,FPIES Food Protein Induced Enterocolitis Syndrome,Lower GI; Upper GI; Nutrition & Growth; Allergy/EGID,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Fundoplication.md,Fundoplication,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Gastroenteritis_Acute.md,Gastroenteritis Acute,Lower GI; Upper GI; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Gastroesophageal_Reflux_Disease.md,Gastroesophageal Reflux Disease,Lower GI; Upper GI; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Gastrointestinal_Gas.md,Gastrointestinal Gas,Lower GI; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Gastrointestinal_Polyps.md,Gastrointestinal Polyps,Lower GI; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Gastroschisis.md,Gastroschisis,Lower GI; Upper GI; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Gastrostomy_Tubes.md,Gastrostomy Tubes,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Gilberts_Syndrome.md,Gilberts Syndrome,Liver & Biliary; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Guided_Imagery_for_Abdominal_Pain.md,Guided Imagery for Abdominal Pain,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Healthy_Eating.md,Healthy Eating,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-High-Calorie_Nutrition.md,High Calorie Nutrition,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-HighCalorie_Nutrition.md,HighCalorie Nutrition,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Hirschsprungs_Disease.md,Hirschsprungs Disease,Lower GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Hydrogen_Breath_Test.md,Hydrogen Breath Test,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Impedance.md,Impedance,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Indigestion_Functional_Dyspepsia_NonUlcer_Dyspepsia.md,Indigestion Functional Dyspepsia NonUlcer Dyspepsia,Lower GI; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Inflammatory_Bowel_Disease_IBD.md,Inflammatory Bowel Disease IBD,Lower GI; Upper GI; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Intussusception.md,Intussusception,Lower GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Irritable_Bowel_Syndrome_IBS.md,Irritable Bowel Syndrome IBS,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Lactose_Intolerance.md,Lactose Intolerance,Lower GI; Upper GI; Nutrition & Growth; Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Liver_Biopsy.md,Liver Biopsy,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Liver_Transplantation.md,Liver Transplantation,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Metabolic_Dysfunction-Associated_Steatotic_Liver_Disease_MASLD_Formerly_NAFLD.md,Metabolic Dysfunction Associated Steatotic Liver Disease MASLD Formerly NAFLD,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-my-child-pockets-food-and-refuses-to-eat.md,My Child Pockets Food and Refuses to Eat: What It Means and What to Do,Nutrition & Growth,Education,Feeding Difficulties; Picky Eating; Food Pocketing; Dysphagia; Toddler; Nutrition; EoE; Constipation,2025-12-25
content\en\blog\2025-12-25-Nasogastric_Tubes.md,Nasogastric Tubes,Upper GI; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Nausea.md,Nausea,Upper GI; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Necrotizing_Enterocolitis.md,Necrotizing Enterocolitis,Lower GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Nutrition.md,Nutrition,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Nutrition_Enteral.md,Nutrition Enteral,Lower GI; Upper GI; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Nutrition_Parenteral.md,Nutrition Parenteral,Liver & Biliary; Lower GI; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Omphalocele.md,Omphalocele,Lower GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Pancreatitis_Acute.md,Pancreatitis Acute,Pancreas,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Pancreatitis_Chronic.md,Pancreatitis Chronic,Pancreas,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Parenteral_Nutrition.md,Parenteral Nutrition,Liver & Biliary; Lower GI; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Peanuts_Introduction.md,Peanuts Introduction,Nutrition & Growth; Allergy/EGID,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Peroxisomal_Biogenesis_Disorders.md,Peroxisomal Biogenesis Disorders,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-pH_Impedance_Study.md,pH Impedance Study,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Polyposis.md,Polyposis,Lower GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Polyps_Gastrointestinal.md,Polyps Gastrointestinal,Lower GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Primary_Sclerosing_Cholangitis_PSC.md,Primary Sclerosing Cholangitis PSC,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Progressive_Familial_Intrahepatic_Cholestasis_PFIC.md,Progressive Familial Intrahepatic Cholestasis PFIC,Liver & Biliary,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Progressive_Muscle_Relaxation.md,Progressive Muscle Relaxation,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Rectal_Prolapse.md,Rectal Prolapse,Lower GI;  GI Bleeding,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Reflux_Fundoplication.md,Reflux Fundoplication,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Reflux_pH_Probe_Study.md,Reflux pH Probe Study,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Rumination_Disorder.md,Rumination Disorder,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Sitz_Marker_Study.md,Sitz Marker Study,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Sleep.md,Sleep,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Solids_Introduction.md,Solids Introduction,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Toddlers_Diarrhea.md,Toddlers Diarrhea,Lower GI; Upper GI,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Transnasal_Endoscopy.md,Transnasal Endoscopy,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Triple_Endoscopy.md,Triple Endoscopy,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Tube_Feeding_Blenderized.md,Tube Feeding Blenderized,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Tube_Feeding_Enteral.md,Tube Feeding Enteral,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Tubes_Gastrostomy.md,Tubes Gastrostomy,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Tubes_Nasogastric.md,Tubes Nasogastric,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Ulcerative_Colitis.md,Ulcerative Colitis,Lower GI; Upper GI; Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Upper_Gastrointestinal_Study.md,Upper Gastrointestinal Study,Imagings & Procedures,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-Vegetarian.md,Vegetarian,Nutrition & Growth,Education,Pediatrics,2025-12-25
content\en\blog\2025-12-25-vomiting-in-children-common-causes-red-flags.md,"Vomiting in Children: What’s Normal, What’s Urgent, and What to Do (Newborns → Teens)",Lower GI; Upper GI,Education,Vomiting; Dehydration; Abdominal Pain; Appendicitis; Newborn; Toddler; Pediatric Gastroenterology,2025-12-25
content\en\blog\2025-12-25-why-my-child-is-not-growing-evaluation.md,Why Is My Child Not Growing? A Practical Guide for Parents,Nutrition & Growth,Education,Growth; Poor Weight Gain; Short Stature; Nutrition; Poor Growth; Pediatric Gastroenterology,2025-12-25
content\en\blog\2025-12-25-Yoga.md,Yoga,Brain-Gut Axis Disorders,Education,Pediatrics,2025-12-25
